round,time,model_id,amount
1,2022-06-19 01:00:00+09:00,0,0.0
1,2022-06-19 01:00:00+09:00,1,0.0
1,2022-06-19 01:00:00+09:00,2,0.0
1,2022-06-19 01:00:00+09:00,3,0.0
1,2022-06-19 01:00:00+09:00,4,0.0
1,2022-06-19 02:00:00+09:00,0,0.0
1,2022-06-19 02:00:00+09:00,1,0.0
1,2022-06-19 02:00:00+09:00,2,0.0
1,2022-06-19 02:00:00+09:00,3,0.0
1,2022-06-19 02:00:00+09:00,4,0.0
1,2022-06-19 03:00:00+09:00,0,0.0
1,2022-06-19 03:00:00+09:00,1,0.0
1,2022-06-19 03:00:00+09:00,2,0.0
1,2022-06-19 03:00:00+09:00,3,0.0
1,2022-06-19 03:00:00+09:00,4,0.0
1,2022-06-19 04:00:00+09:00,0,0.0
1,2022-06-19 04:00:00+09:00,1,0.0
1,2022-06-19 04:00:00+09:00,2,0.0
1,2022-06-19 04:00:00+09:00,3,0.0
1,2022-06-19 04:00:00+09:00,4,0.0
1,2022-06-19 05:00:00+09:00,0,0.0
1,2022-06-19 05:00:00+09:00,1,0.0
1,2022-06-19 05:00:00+09:00,2,0.0
1,2022-06-19 05:00:00+09:00,3,0.0
1,2022-06-19 05:00:00+09:00,4,0.0
1,2022-06-19 06:00:00+09:00,0,0.0
1,2022-06-19 06:00:00+09:00,1,0.0
1,2022-06-19 06:00:00+09:00,2,0.0
1,2022-06-19 06:00:00+09:00,3,0.0
1,2022-06-19 06:00:00+09:00,4,0.0
1,2022-06-19 07:00:00+09:00,0,1.84569
1,2022-06-19 07:00:00+09:00,1,7.99585
1,2022-06-19 07:00:00+09:00,2,0.223429
1,2022-06-19 07:00:00+09:00,3,2.53696
1,2022-06-19 07:00:00+09:00,4,1.48986
1,2022-06-19 08:00:00+09:00,0,12.1427
1,2022-06-19 08:00:00+09:00,1,12.9595
1,2022-06-19 08:00:00+09:00,2,7.62878
1,2022-06-19 08:00:00+09:00,3,11.6249
1,2022-06-19 08:00:00+09:00,4,12.9959
1,2022-06-19 09:00:00+09:00,0,16.7491
1,2022-06-19 09:00:00+09:00,1,17.2484
1,2022-06-19 09:00:00+09:00,2,18.1117
1,2022-06-19 09:00:00+09:00,3,16.6563
1,2022-06-19 09:00:00+09:00,4,22.8779
1,2022-06-19 10:00:00+09:00,0,24.4652
1,2022-06-19 10:00:00+09:00,1,27.4803
1,2022-06-19 10:00:00+09:00,2,32.2159
1,2022-06-19 10:00:00+09:00,3,30.2017
1,2022-06-19 10:00:00+09:00,4,23.6411
1,2022-06-19 11:00:00+09:00,0,32.4885
1,2022-06-19 11:00:00+09:00,1,39.2311
1,2022-06-19 11:00:00+09:00,2,45.8314
1,2022-06-19 11:00:00+09:00,3,45.4765
1,2022-06-19 11:00:00+09:00,4,29.1206
1,2022-06-19 12:00:00+09:00,0,50.9095
1,2022-06-19 12:00:00+09:00,1,57.3688
1,2022-06-19 12:00:00+09:00,2,54.7892
1,2022-06-19 12:00:00+09:00,3,60.2924
1,2022-06-19 12:00:00+09:00,4,36.7744
1,2022-06-19 13:00:00+09:00,0,57.6032
1,2022-06-19 13:00:00+09:00,1,60.0244
1,2022-06-19 13:00:00+09:00,2,51.6923
1,2022-06-19 13:00:00+09:00,3,55.4945
1,2022-06-19 13:00:00+09:00,4,47.5495
1,2022-06-19 14:00:00+09:00,0,55.9935
1,2022-06-19 14:00:00+09:00,1,57.9255
1,2022-06-19 14:00:00+09:00,2,53.5617
1,2022-06-19 14:00:00+09:00,3,53.7681
1,2022-06-19 14:00:00+09:00,4,48.5661
1,2022-06-19 15:00:00+09:00,0,54.2828
1,2022-06-19 15:00:00+09:00,1,54.6998
1,2022-06-19 15:00:00+09:00,2,53.0764
1,2022-06-19 15:00:00+09:00,3,51.6307
1,2022-06-19 15:00:00+09:00,4,48.7599
1,2022-06-19 16:00:00+09:00,0,47.4435
1,2022-06-19 16:00:00+09:00,1,49.1757
1,2022-06-19 16:00:00+09:00,2,48.8919
1,2022-06-19 16:00:00+09:00,3,48.3035
1,2022-06-19 16:00:00+09:00,4,26.3852
1,2022-06-19 17:00:00+09:00,0,37.1416
1,2022-06-19 17:00:00+09:00,1,36.1801
1,2022-06-19 17:00:00+09:00,2,31.3164
1,2022-06-19 17:00:00+09:00,3,38.1552
1,2022-06-19 17:00:00+09:00,4,12.9685
1,2022-06-19 18:00:00+09:00,0,21.1464
1,2022-06-19 18:00:00+09:00,1,21.2561
1,2022-06-19 18:00:00+09:00,2,15.5211
1,2022-06-19 18:00:00+09:00,3,18.6565
1,2022-06-19 18:00:00+09:00,4,9.0431
1,2022-06-19 19:00:00+09:00,0,7.64956
1,2022-06-19 19:00:00+09:00,1,6.84952
1,2022-06-19 19:00:00+09:00,2,4.10492
1,2022-06-19 19:00:00+09:00,3,8.17307
1,2022-06-19 19:00:00+09:00,4,0.0
1,2022-06-19 20:00:00+09:00,0,0.0
1,2022-06-19 20:00:00+09:00,1,0.0
1,2022-06-19 20:00:00+09:00,2,0.0
1,2022-06-19 20:00:00+09:00,3,0.0
1,2022-06-19 20:00:00+09:00,4,0.0
1,2022-06-19 21:00:00+09:00,0,0.0
1,2022-06-19 21:00:00+09:00,1,0.0
1,2022-06-19 21:00:00+09:00,2,0.0
1,2022-06-19 21:00:00+09:00,3,0.0
1,2022-06-19 21:00:00+09:00,4,0.0
1,2022-06-19 22:00:00+09:00,0,0.0
1,2022-06-19 22:00:00+09:00,1,0.0
1,2022-06-19 22:00:00+09:00,2,0.0
1,2022-06-19 22:00:00+09:00,3,0.0
1,2022-06-19 22:00:00+09:00,4,0.0
1,2022-06-19 23:00:00+09:00,0,0.0
1,2022-06-19 23:00:00+09:00,1,0.0
1,2022-06-19 23:00:00+09:00,2,0.0
1,2022-06-19 23:00:00+09:00,3,0.0
1,2022-06-19 23:00:00+09:00,4,0.0
1,2022-06-20 00:00:00+09:00,0,0.0
1,2022-06-20 00:00:00+09:00,1,0.0
1,2022-06-20 00:00:00+09:00,2,0.0
1,2022-06-20 00:00:00+09:00,3,0.0
1,2022-06-20 00:00:00+09:00,4,0.0
1,2022-06-20 01:00:00+09:00,0,0.0
1,2022-06-20 01:00:00+09:00,1,0.0
1,2022-06-20 01:00:00+09:00,2,0.0
1,2022-06-20 01:00:00+09:00,3,0.0
1,2022-06-20 01:00:00+09:00,4,0.0
1,2022-06-20 02:00:00+09:00,0,0.0
1,2022-06-20 02:00:00+09:00,1,0.0
1,2022-06-20 02:00:00+09:00,2,0.0
1,2022-06-20 02:00:00+09:00,3,0.0
1,2022-06-20 02:00:00+09:00,4,0.0
1,2022-06-20 03:00:00+09:00,0,0.0
1,2022-06-20 03:00:00+09:00,1,0.0
1,2022-06-20 03:00:00+09:00,2,0.0
1,2022-06-20 03:00:00+09:00,3,0.0
1,2022-06-20 03:00:00+09:00,4,0.0
1,2022-06-20 04:00:00+09:00,0,0.0
1,2022-06-20 04:00:00+09:00,1,0.0
1,2022-06-20 04:00:00+09:00,2,0.0
1,2022-06-20 04:00:00+09:00,3,0.0
1,2022-06-20 04:00:00+09:00,4,0.0
1,2022-06-20 05:00:00+09:00,0,0.0
1,2022-06-20 05:00:00+09:00,1,0.0
1,2022-06-20 05:00:00+09:00,2,0.0
1,2022-06-20 05:00:00+09:00,3,0.0
1,2022-06-20 05:00:00+09:00,4,0.0
1,2022-06-20 06:00:00+09:00,0,0.0
1,2022-06-20 06:00:00+09:00,1,0.0
1,2022-06-20 06:00:00+09:00,2,0.0
1,2022-06-20 06:00:00+09:00,3,0.0
1,2022-06-20 06:00:00+09:00,4,0.0
1,2022-06-20 07:00:00+09:00,0,1.99598
1,2022-06-20 07:00:00+09:00,1,8.55388
1,2022-06-20 07:00:00+09:00,2,2.16388
1,2022-06-20 07:00:00+09:00,3,6.23792
1,2022-06-20 07:00:00+09:00,4,0.0
1,2022-06-20 08:00:00+09:00,0,9.74378
1,2022-06-20 08:00:00+09:00,1,12.0985
1,2022-06-20 08:00:00+09:00,2,10.8815
1,2022-06-20 08:00:00+09:00,3,10.551
1,2022-06-20 08:00:00+09:00,4,4.43385
1,2022-06-20 09:00:00+09:00,0,15.2436
1,2022-06-20 09:00:00+09:00,1,19.9081
1,2022-06-20 09:00:00+09:00,2,23.3156
1,2022-06-20 09:00:00+09:00,3,20.1191
1,2022-06-20 09:00:00+09:00,4,11.2447
1,2022-06-20 10:00:00+09:00,0,28.7979
1,2022-06-20 10:00:00+09:00,1,29.2114
1,2022-06-20 10:00:00+09:00,2,35.2812
1,2022-06-20 10:00:00+09:00,3,38.2862
1,2022-06-20 10:00:00+09:00,4,16.9444
1,2022-06-20 11:00:00+09:00,0,34.3075
1,2022-06-20 11:00:00+09:00,1,38.2985
1,2022-06-20 11:00:00+09:00,2,45.7791
1,2022-06-20 11:00:00+09:00,3,39.9854
1,2022-06-20 11:00:00+09:00,4,32.6078
1,2022-06-20 12:00:00+09:00,0,38.6999
1,2022-06-20 12:00:00+09:00,1,46.8333
1,2022-06-20 12:00:00+09:00,2,46.8864
1,2022-06-20 12:00:00+09:00,3,32.0175
1,2022-06-20 12:00:00+09:00,4,36.298
1,2022-06-20 13:00:00+09:00,0,49.1369
1,2022-06-20 13:00:00+09:00,1,53.4766
1,2022-06-20 13:00:00+09:00,2,48.9527
1,2022-06-20 13:00:00+09:00,3,39.6592
1,2022-06-20 13:00:00+09:00,4,51.0397
1,2022-06-20 14:00:00+09:00,0,47.4901
1,2022-06-20 14:00:00+09:00,1,54.3435
1,2022-06-20 14:00:00+09:00,2,52.9872
1,2022-06-20 14:00:00+09:00,3,50.6237
1,2022-06-20 14:00:00+09:00,4,39.5897
1,2022-06-20 15:00:00+09:00,0,44.6038
1,2022-06-20 15:00:00+09:00,1,48.1458
1,2022-06-20 15:00:00+09:00,2,49.0786
1,2022-06-20 15:00:00+09:00,3,48.2721
1,2022-06-20 15:00:00+09:00,4,52.5414
1,2022-06-20 16:00:00+09:00,0,39.4525
1,2022-06-20 16:00:00+09:00,1,41.4009
1,2022-06-20 16:00:00+09:00,2,44.9031
1,2022-06-20 16:00:00+09:00,3,43.332
1,2022-06-20 16:00:00+09:00,4,43.4214
1,2022-06-20 17:00:00+09:00,0,30.1145
1,2022-06-20 17:00:00+09:00,1,34.428
1,2022-06-20 17:00:00+09:00,2,32.2942
1,2022-06-20 17:00:00+09:00,3,29.9305
1,2022-06-20 17:00:00+09:00,4,30.8007
1,2022-06-20 18:00:00+09:00,0,14.8392
1,2022-06-20 18:00:00+09:00,1,19.1241
1,2022-06-20 18:00:00+09:00,2,18.6178
1,2022-06-20 18:00:00+09:00,3,15.6243
1,2022-06-20 18:00:00+09:00,4,21.1121
1,2022-06-20 19:00:00+09:00,0,9.32632
1,2022-06-20 19:00:00+09:00,1,12.1519
1,2022-06-20 19:00:00+09:00,2,8.70094
1,2022-06-20 19:00:00+09:00,3,8.65134
1,2022-06-20 19:00:00+09:00,4,14.9774
1,2022-06-20 20:00:00+09:00,0,0.0
1,2022-06-20 20:00:00+09:00,1,0.0
1,2022-06-20 20:00:00+09:00,2,0.0
1,2022-06-20 20:00:00+09:00,3,0.0
1,2022-06-20 20:00:00+09:00,4,0.0
1,2022-06-20 21:00:00+09:00,0,0.0
1,2022-06-20 21:00:00+09:00,1,0.0
1,2022-06-20 21:00:00+09:00,2,0.0
1,2022-06-20 21:00:00+09:00,3,0.0
1,2022-06-20 21:00:00+09:00,4,0.0
1,2022-06-20 22:00:00+09:00,0,0.0
1,2022-06-20 22:00:00+09:00,1,0.0
1,2022-06-20 22:00:00+09:00,2,0.0
