time,Predicted
2023-09-30 01:00:00+09:00,0.5117827
2023-09-30 02:00:00+09:00,-1.5322748
2023-09-30 03:00:00+09:00,-1.4628032
2023-09-30 04:00:00+09:00,-0.35311997
2023-09-30 05:00:00+09:00,-1.9152106
2023-09-30 06:00:00+09:00,-1.0036504
2023-09-30 07:00:00+09:00,1.1146241
2023-09-30 08:00:00+09:00,3.1841905
2023-09-30 09:00:00+09:00,8.054214
2023-09-30 10:00:00+09:00,18.852295
2023-09-30 11:00:00+09:00,23.101788
2023-09-30 12:00:00+09:00,50.705795
2023-09-30 13:00:00+09:00,45.160156
2023-09-30 14:00:00+09:00,60.7875
2023-09-30 15:00:00+09:00,54.927235
2023-09-30 16:00:00+09:00,37.43236
2023-09-30 17:00:00+09:00,32.10998
2023-09-30 18:00:00+09:00,19.50346
2023-09-30 19:00:00+09:00,7.00367
2023-09-30 20:00:00+09:00,2.9598043
2023-09-30 21:00:00+09:00,0.24060464
2023-09-30 22:00:00+09:00,-3.1137033
2023-09-30 23:00:00+09:00,-3.667811
2023-10-01 00:00:00+09:00,-7.1304073
2023-10-01 01:00:00+09:00,-1.8523529
2023-10-01 02:00:00+09:00,-3.4221294
2023-10-01 03:00:00+09:00,-1.898298
2023-10-01 04:00:00+09:00,-0.86208254
2023-10-01 05:00:00+09:00,0.8637575
2023-10-01 06:00:00+09:00,2.8462179
2023-10-01 07:00:00+09:00,4.8034306
2023-10-01 08:00:00+09:00,19.249378
2023-10-01 09:00:00+09:00,31.355623
2023-10-01 10:00:00+09:00,52.7895
2023-10-01 11:00:00+09:00,65.76274
2023-10-01 12:00:00+09:00,79.09092
2023-10-01 13:00:00+09:00,86.922905
2023-10-01 14:00:00+09:00,84.533104
2023-10-01 15:00:00+09:00,74.56034
2023-10-01 16:00:00+09:00,53.22347
2023-10-01 17:00:00+09:00,32.49232
2023-10-01 18:00:00+09:00,26.810907
2023-10-01 19:00:00+09:00,12.912419
2023-10-01 20:00:00+09:00,7.605142
2023-10-01 21:00:00+09:00,3.138179
2023-10-01 22:00:00+09:00,-2.3840568
2023-10-01 23:00:00+09:00,-2.7045193
2023-10-02 00:00:00+09:00,-5.209978
2023-10-02 01:00:00+09:00,-4.8192253
2023-10-02 02:00:00+09:00,-2.9017742
2023-10-02 03:00:00+09:00,-4.460674
2023-10-02 04:00:00+09:00,-1.080657
2023-10-02 05:00:00+09:00,-1.7772955
2023-10-02 06:00:00+09:00,0.7766733
2023-10-02 07:00:00+09:00,5.422004
2023-10-02 08:00:00+09:00,6.6620774
2023-10-02 09:00:00+09:00,20.610132
2023-10-02 10:00:00+09:00,32.71355
2023-10-02 11:00:00+09:00,52.129345
2023-10-02 12:00:00+09:00,63.83292
2023-10-02 13:00:00+09:00,68.080635
2023-10-02 14:00:00+09:00,65.984085
2023-10-02 15:00:00+09:00,58.870033
2023-10-02 16:00:00+09:00,48.490055
2023-10-02 17:00:00+09:00,35.06672
2023-10-02 18:00:00+09:00,23.044579
2023-10-02 19:00:00+09:00,9.979719
2023-10-02 20:00:00+09:00,6.83909
2023-10-02 21:00:00+09:00,3.5921383
2023-10-02 22:00:00+09:00,-0.028326511
2023-10-02 23:00:00+09:00,-1.6714615
2023-10-03 00:00:00+09:00,-3.1333408
2023-10-03 01:00:00+09:00,-0.581045
2023-10-03 02:00:00+09:00,-0.7940296
2023-10-03 03:00:00+09:00,-0.86649626
2023-10-03 04:00:00+09:00,-0.32430235
2023-10-03 05:00:00+09:00,1.5091553
2023-10-03 06:00:00+09:00,3.7779114
2023-10-03 07:00:00+09:00,6.667777
2023-10-03 08:00:00+09:00,8.820817
2023-10-03 09:00:00+09:00,19.281038
2023-10-03 10:00:00+09:00,26.002884
2023-10-03 11:00:00+09:00,28.741776
2023-10-03 12:00:00+09:00,40.233467
2023-10-03 13:00:00+09:00,42.468586
2023-10-03 14:00:00+09:00,31.920998
2023-10-03 15:00:00+09:00,27.74741
2023-10-03 16:00:00+09:00,27.329617
2023-10-03 17:00:00+09:00,25.101334
2023-10-03 18:00:00+09:00,13.242394
2023-10-03 19:00:00+09:00,7.253358
2023-10-03 20:00:00+09:00,4.9551616
