time,round,cloud,temp,humidity,ground_press,wind_speed,wind_dir,rain,snow,dew_point,vis,uv_idx,azimuth,elevation
2022-06-19 01:00:00+09:00,1.5,6.5,19.990000000000002,93.5,1009.0,2.83,157.0,0.0,0.0,18.3333,16.0934,0.0,6.70428,-31.5296
2022-06-19 02:00:00+09:00,1.5,15.5,20.015,94.5,1009.0,2.855,153.5,0.0,0.0,18.3333,16.0934,0.0,22.1964,-28.4404
2022-06-19 03:00:00+09:00,1.5,26.5,20.11,95.5,1008.5,2.76,159.5,0.0,0.0,18.3333,16.0934,0.0,35.9194,-22.4374
2022-06-19 04:00:00+09:00,1.5,97.5,20.270000000000003,95.5,1008.0,2.815,160.5,0.0,0.0,17.7778,16.0934,0.0,47.5577,-14.2214
2022-06-19 05:00:00+09:00,1.5,98.5,20.384999999999998,95.5,1008.5,2.9000000000000004,159.5,0.0,0.0,18.3333,16.0934,0.0,57.3782,-4.4447
2022-06-19 06:00:00+09:00,1.5,99.0,20.4,95.0,1008.5,2.575,151.0,0.0,0.0,18.8889,16.0934,0.0,65.8614,6.39544
2022-06-19 07:00:00+09:00,1.5,99.5,20.63,94.5,1009.0,2.255,153.5,0.0,0.0,19.4444,16.0934,0.0,73.5196,17.9461
2022-06-19 08:00:00+09:00,1.5,99.5,20.865000000000002,93.5,1008.5,2.8,168.5,0.0,0.0,19.4444,16.0934,1.0,80.8871,29.9536
2022-06-19 09:00:00+09:00,1.5,99.5,21.125,92.5,1008.5,3.21,178.0,0.0,0.0,18.8889,16.0934,1.0,88.6491,42.2134
2022-06-19 10:00:00+09:00,1.5,100.0,21.405,91.0,1008.5,3.1550000000000002,193.0,0.0,0.0,18.3333,16.0934,3.0,98.0436,54.5033
2022-06-19 11:00:00+09:00,1.5,91.0,21.71,88.5,1008.0,2.365,197.5,0.0,0.0,18.3333,16.0934,5.0,112.342,66.4014
2022-06-19 12:00:00+09:00,1.5,77.0,22.560000000000002,83.5,1008.0,2.005,191.5,0.0,0.0,18.3333,16.0934,11.0,143.612,76.3123
2022-06-19 13:00:00+09:00,1.5,64.0,23.51,80.0,1007.0,2.8899999999999997,190.0,0.0,0.0,17.7778,16.0934,11.0,207.104,77.44
2022-06-19 14:00:00+09:00,1.5,56.5,24.195,77.5,1006.0,3.79,178.5,0.0,0.0,18.8889,16.0934,8.0,244.082,68.3532
2022-06-19 15:00:00+09:00,1.5,47.5,24.545,76.0,1006.0,4.48,178.0,0.0,0.0,18.3333,16.0934,5.0,259.989,56.6154
2022-06-19 16:00:00+09:00,1.5,2.0,24.48,76.5,1006.0,4.6,171.5,0.0,0.0,18.3333,16.0934,3.0,269.895,44.3523
2022-06-19 17:00:00+09:00,1.5,3.0,24.369999999999997,76.5,1006.0,4.63,170.5,0.0,0.0,18.3333,16.0934,2.0,277.825,32.07
2022-06-19 18:00:00+09:00,1.5,3.0,23.950000000000003,78.0,1005.5,4.865,162.5,0.0,0.0,18.8889,16.0934,1.0,285.204,20.0055
